#key=_id
#rtable=POINTER
#foreign_key_ltable=ltable.id
#foreign_key_rtable=rtable.id
#ltable=POINTER
_id,ltable.id,rtable.id,ltable.bike_name,ltable.city_posted,ltable.km_driven,ltable.price,ltable.color,rtable.bike_name,rtable.city_posted,rtable.km_driven,rtable.price,rtable.color,gold
70252,36217,28620,Hero Honda CBZ Disc,Delhi,58000,15000,black,Hero Honda Passion Standard,Delhi,59000,11000,red,0
77029,36219,31966,Hero Honda Glamour,Delhi,45000,23000,black,Hero Honda Hunk Standard,Delhi,44000,40000,red,0
92466,36224,24610,Hero Honda Splendor Plus,Delhi,7350,38000,black,Hero Splendor Plus Alloy,Delhi,8000,38000,black,1
147190,36243,22741,Yamaha Fazer Sport,Delhi,12000,46000,red,Yamaha FZ S Standard,Delhi,12000,49000,red,0
154226,36245,29302,Yamaha YZF R15 Version 2.0,Delhi,8000,90000,red,Yamaha YZF R15 V 2.0,Delhi,9000,80000,red,1
177615,36442,1820,Bajaj Pulsar 135,Delhi,17000,27999,red,Bajaj Pulsar 135 LS Standard,Delhi,16000,45000,red,1
189170,36480,23151,Hero Honda Passion Pro,Delhi,10200,32000,black,Hero Passion PRO Self Alloy,Delhi,9500,40000,black,1
189569,36480,27834,Hero Honda Passion Pro,Delhi,10200,32000,black,Hero Honda Karizma Standard,Delhi,10000,40000,yellow,0
206296,36717,33756,Hero Honda Hunk,Delhi,33000,27000,red,Hero Honda Passion Plus Drum,Delhi,34000,31000,blue,0
259077,36734,11034,Yamaha YZF R15,Delhi,17000,46000,red,Yamaha YZF R15 V 2.0,Delhi,16000,85000,black,0
259466,36734,15249,Yamaha YZF R15,Delhi,17000,46000,red,Yamaha SZ Standard,Delhi,16900,40000,red,0
261185,36734,34146,Yamaha YZF R15,Delhi,17000,46000,red,Yamaha YZF R15 V 2.0,Delhi,18000,70000,black,0
267298,36737,30675,Yamaha FZ16,Delhi,27000,26999,orange,Yamaha Fazer Standard,Delhi,26000,50000,blue,0
274252,36786,35445,Bajaj Pulsar 150cc Dtsi,Delhi,40000,11999,black,Bajaj Pulsar 150 DTS- i Standard,Delhi,40000,15000,black,1
376312,36930,22799,Hero Honda Splendor Plus,Delhi,40000,30000,black,Hero Honda Splendor PRO Self,Delhi,40000,38000,black,0
413983,36948,11193,Bajaj Pulsar 150cc Dtsi,Delhi,40000,10999,black,Bajaj Pulsar 150 Kick Start,Delhi,40000,21000,black,1
439392,36974,6031,Bajaj Discover 100,Delhi,28000,21999,black,Bajaj Discover 100 5 Speed,Delhi,27609,25000,black,1
479836,37032,26044,Bajaj Pulsar 220F Dtsi,Delhi,18000,50000,black,Bajaj Avenger 220 DTS- i,Delhi,19000,50000,black,0
482006,37042,14075,Hero Honda Cd Deluxe,Delhi,16900,29999,black,Hero Honda CD Deluxe Standard,Delhi,16499,29000,blue,0
482668,37042,21102,Hero Honda Cd Deluxe,Delhi,16900,29999,black,Hero Honda Passion PRO Standard,Delhi,17000,35000,black,0
483840,37042,33981,Hero Honda Cd Deluxe,Delhi,16900,29999,black,Hero Honda Passion PRO Standard,Delhi,17000,40000,black,0
500757,37274,6883,Bajaj Pulsar 150cc Dtsi,Delhi,14000,23000,black,Bajaj Pulsar 150 DTS- i Standard,Delhi,14500,37500,red,0
508008,37278,15882,Yamaha FZ S,Delhi,12000,61999,green,Yamaha YZF R15 V 2.0,Delhi,13000,120000,green,0
550238,37390,19165,Yamaha FZ16,Delhi,32000,35000,black,Yamaha FZ S Standard,Delhi,33000,60000,black,0
552700,37391,10649,Yamaha FZ FI Version 2.0,Delhi,25000,40000,red,Yamaha YZF R15 V 2.0,Delhi,24000,80000,red,0
580023,37400,27715,Honda CBR 150R Standard,Delhi,4600,90000,orange,TVS Jupiter Standard,Delhi,4700,49000,white,0
580735,37400,34816,Honda CBR 150R Standard,Delhi,4600,90000,orange,Vespa S Standard,Delhi,5500,75000,black,0
613621,37412,5703,Bajaj Pulsar 180cc Dtsi,Delhi,31000,38000,red,Bajaj Pulsar 180 DTS- i Standard,Delhi,30000,40000,black,0
617007,37413,7878,Bajaj Discover 125 M Drum,Delhi,42000,16000,black,Bajaj Discover125 Drum Brake,Delhi,43000,26000,black,1
663719,37456,25249,Hero Honda Hunk,Delhi,15000,31999,black,Hero Honda Karizma Standard,Delhi,15000,40000,red,0
681497,37463,7201,Bajaj Pulsar 150cc Dtsi,Delhi,27000,16000,black,Bajaj Pulsar 150 DTS- i Standard,Delhi,27000,23000,black,1
682362,37463,17069,Bajaj Pulsar 150cc Dtsi,Delhi,27000,16000,black,Bajaj Pulsar 150 DTS- i Standard,Delhi,27000,20000,black,1
686831,37465,30892,Bajaj Pulsar 220F Dtsi,Delhi,2500,79000,black,Bajaj Avenger 220 DTS- i,Delhi,2500,75000,blue,0
692165,37467,18324,Bajaj Pulsar 150cc Dtsi,Delhi,35000,38000,Cherry,Bajaj Pulsar 150 Kick Start,Delhi,34000,36000,blue,0
807005,37934,3192,Yamaha FZ S,Delhi,15000,50000,black,Yamaha SZ R Standard,Delhi,14500,45000,black,0
811279,37935,15189,Yamaha SZ RR,Delhi,18000,45000,blue,Yamaha YZF R15 V 2.0,Delhi,19000,75000,blue,0
873289,37955,23094,Hero Honda Splendor Pro,Delhi,32000,27000,green,Hero Honda Karizma Standard,Delhi,31549,35000,yellow,0
895327,37962,16912,Hero Honda Cbz Xtreme Self Start,Delhi,15000,43000,black,Hero Honda Super Splendor Drum Self,Delhi,15000,37000,black,0
902796,37964,28481,Bajaj Avenger 220,Delhi,8000,69000,black,Bajaj Avenger 220 DTS- i,Delhi,7827,50000,red,0
935099,38149,28701,Yamaha FZ16,Delhi,23000,44500,black,Yamaha SZ R Standard,Delhi,24000,40000,red,0
937446,38364,18695,Bajaj Xcd Exceed 125cc Dtssi,Delhi,34000,21999,red,Bajaj Xcd 125 cc,Delhi,35000,20000,silver,0
971556,38376,2842,Bajaj Pulsar 220F Dtsi,Delhi,15000,40000,black,Bajaj Avenger 220 DTS- i,Delhi,15000,70000,red,0
